k,selection,classifier,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,auc_roc_mean,auc_roc_std,auc_roc_ci_lower,auc_roc_ci_upper
10,variance,rf,0.9227272727272726,0.00909090909090908,0.9114394181981474,0.9340151272563978,0.9518444179083814,0.014495510253426595,0.933845864691108,0.9698429711256548,0.8909090909090909,0.024896479886598457,0.8599960281518974,0.9218221536662844,0.9200852225991742,0.010367523872573288,0.9072122414560819,0.9329582037422666,0.9875867768595041,0.0014030127506056947,0.9858447064380562,0.989328847280952
10,variance,svm,0.8318181818181818,0.02339915941133408,0.8027642879888974,0.8608720756474662,0.9161671142636234,0.030532343740146836,0.878256202260701,0.9540780262665458,0.7309090909090908,0.03437758254761647,0.6882236843144374,0.7735944975037443,0.8127472394522144,0.027669501852989813,0.7783910151531246,0.8471034637513042,0.9264958677685952,0.013978747028462872,0.9091389608433549,0.9438527746938354
10,correlation,ocsvm,0.8427272727272728,0.01140900036182833,0.8285611277224968,0.8568934177320487,0.8773259048478458,0.02565883860493973,0.8454662487163712,0.9091855609793204,0.7981818181818181,0.027574092523823833,0.7639440602118465,0.8324195761517897,0.8353239925309012,0.012399297083616251,0.8199282317391419,0.8507197533226605,0.9206776859504133,0.006935602974579515,0.912065997431043,0.9292893744697837
10,correlation,iforest,0.7972727272727272,0.01718879127380821,0.7759300239754006,0.8186154305700539,0.8676183822127636,0.022116346754985566,0.8401573106753073,0.8950794537502198,0.7018181818181818,0.023531234737354162,0.6726002948115273,0.7310360688248363,0.7757991930989064,0.019935057503142523,0.7510465498951325,0.8005518363026803,0.8731404958677687,0.013232563791067376,0.8567100978044655,0.8895708939310718
10,correlation,rf,0.9199999999999999,0.017779642923279965,0.8979236574812448,0.942076342518755,0.9679583161936103,0.011927770270079007,0.953148033270408,0.9827685991168126,0.8690909090909091,0.040959564822068376,0.8182328920692534,0.9199489261125648,0.9153127462056176,0.02119136634270979,0.8890001895451278,0.9416253028661075,0.9888264462809918,0.002511771344530994,0.9857076702307678,0.9919452223312158
10,correlation,svm,0.8681818181818182,0.015745916432444343,0.848630680628927,0.8877329557347093,0.9952941176470589,0.006443794794178402,0.9872930896393147,1.0032951456548032,0.74,0.03437758254761646,0.6973145934053465,0.7826854065946535,0.8484317800195509,0.02176700116495796,0.8214044783241632,0.8754590817149386,0.9565950413223142,0.006625604938662136,0.9483682662036563,0.9648218164409721
10,random,ocsvm,0.8236363636363636,0.026190655074341686,0.7911163701411807,0.8561563571315465,0.8732203751065644,0.03732118510466846,0.8268800031917989,0.9195607470213298,0.7581818181818182,0.026967994498529695,0.7246966303092366,0.7916670060543998,0.8113599306440994,0.02701843903536873,0.7778121076062188,0.84490775368198,0.8629752066115701,0.03646131696365896,0.8177025020106985,0.9082479112124417
10,random,iforest,0.8209090909090909,0.016262312563634796,0.8007167628712888,0.841101418946893,0.8801032997617833,0.01785198500115762,0.8579371326893722,0.9022694668341943,0.7436363636363637,0.039312269655344866,0.6948237337176435,0.7924489935550838,0.8055161487599577,0.021622848572924448,0.7786678361483457,0.8323644613715697,0.890388429752066,0.03761571859426618,0.8436823462070017,0.9370945132971303
10,random,rf,0.9263636363636364,0.03172062967703254,0.8869772724933112,0.9657500002339616,0.9595081780252291,0.017437424722313532,0.9378567555261441,0.9811596005243142,0.890909090909091,0.06923430096239919,0.8049433519632755,0.9768748298549065,0.9225725107069129,0.036058388884877765,0.8778001073953293,0.9673449140184965,0.9854214876033058,0.006212270862453788,0.9777079345263067,0.993135040680305
10,random,svm,0.8454545454545455,0.026504326794751367,0.8125450770768753,0.8783640138322156,0.9769180503041263,0.02505037080852849,0.9458139067295218,1.0080221938787306,0.7072727272727273,0.03602111410210717,0.6625466067169508,0.7519988478285038,0.8203895380917791,0.032757752335824904,0.77971541635431,0.8610636598292482,0.9533057851239668,0.015579115230460848,0.9339617586184356,0.972649811629498
15,quantum,ocsvm,0.8563636363636362,0.011853095282186615,0.8416460746844662,0.8710811980428063,0.8683375612159292,0.031440433736358374,0.8292991065575819,0.9073760158742765,0.8418181818181818,0.01772144426328901,0.8198141024802812,0.8638222611560824,0.8543693286158038,0.009311898428124799,0.842807079582671,0.8659315776489367,0.9186776859504132,0.0104547904456317,0.9056963490453076,0.9316590228555188
15,quantum,iforest,0.8154545454545454,0.012281141896460292,0.8002054937048788,0.830703597204212,0.8641908865852669,0.017709389823858418,0.8422017748108257,0.8861799983597081,0.749090909090909,0.02845904698636096,0.7137543350247553,0.7844274831570628,0.8021587422769668,0.015440699504988742,0.7829865815945396,0.821330902959394,0.9221818181818182,0.008631636968245843,0.9114642253127826,0.9328994110508538
15,quantum,rf,0.9309090909090909,0.0209288444240388,0.9049224982637543,0.9568956835544276,0.9668312955492727,0.013711785659064368,0.9498058649453258,0.9838567261532196,0.8927272727272728,0.0447213595499958,0.8371983706233168,0.9482561748312288,0.9277331765414705,0.023464696774367803,0.89859790732797,0.956868445754971,0.9908264462809917,0.0035733648775418945,0.9863895277601021,0.9952633648018813
15,quantum,svm,0.9072727272727272,0.006893523130955967,0.8987132877802343,0.9158321667652202,0.9732720556453275,0.01986375694153084,0.9486079437819585,0.9979361675086965,0.8381818181818181,0.02439346884545223,0.8078933261251149,0.8684703102385214,0.9002867552415594,0.008770416655096853,0.889396844631679,0.9111766658514399,0.980793388429752,0.0042638541432496405,0.975499114246487,0.9860876626130171
15,variance,ocsvm,0.8236363636363636,0.022128475353887393,0.7961602324543022,0.851112494818425,0.8775592753244215,0.021325077984122292,0.851080693732649,0.9040378569161939,0.7527272727272727,0.04563600144731321,0.6960626927081689,0.8093918527463765,0.8096555667108889,0.02816773363542181,0.7746807059447923,0.8446304274769855,0.8226280991735537,0.034522729683958024,0.7797624686052625,0.8654937297418449
15,variance,iforest,0.8081818181818182,0.014868570212541924,0.78972004984414,0.8266435865194964,0.8664704870007502,0.020266936190400913,0.8413057619792365,0.891635212022264,0.7290909090909091,0.026814329461368434,0.6957965215627533,0.762385296619065,0.7915650205353336,0.01790742233489684,0.7693300189214621,0.8138000221492051,0.900297520661157,0.014921944762308265,0.8817694790666135,0.9188255622557004
15,variance,rf,0.9281818181818181,0.014868570212541938,0.9097200498441399,0.9466435865194963,0.9609770296757567,0.005773928205833445,0.9538077508943601,0.9681463084571533,0.8927272727272728,0.033648646406039574,0.850946959896605,0.9345075855579407,0.9252853465419287,0.016790702687822626,0.9044369355099162,0.9461337575739412,0.9899834710743802,0.0022522746131403136,0.9871869027731756,0.9927800393755849
15,variance,svm,0.8418181818181818,0.014156737729452227,0.824240270247508,0.8593960933888556,0.9873824772775311,0.008540848459321014,0.9767776132314782,0.9979873413235841,0.6927272727272726,0.033648646406039526,0.6509469598966048,0.7345075855579405,0.8137235179644813,0.020767218797126504,0.7879376100412687,0.8395094258876938,0.9487438016528926,0.018137191664287896,0.9262235037348249,0.9712640995709604
15,correlation,ocsvm,0.8536363636363637,0.013407164730684215,0.8369891698722859,0.8702835574004416,0.8649410454340922,0.033147454496391116,0.8237830445538258,0.9060990463143587,0.8400000000000001,0.018851310321207,0.8165930066551903,0.8634069933448099,0.8517515248890988,0.011054743052528635,0.8380252484313807,0.8654778013468168,0.918595041322314,0.010173181106428404,0.9059633685952551,0.9312267140493729
15,correlation,iforest,0.8136363636363637,0.014373989364401738,0.7957886985320223,0.8314840287407052,0.8633610049370919,0.01763453932820778,0.8414648323283479,0.8852571775458359,0.7454545454545454,0.024052284646041717,0.7155896895350061,0.7753194013740846,0.7998914470159132,0.016891741744812165,0.7789175794244243,0.8208653146074021,0.9193388429752067,0.011594573012932798,0.9049422790905031,0.9337354068599104
15,correlation,rf,0.9418181818181818,0.012196734422726127,0.9266739357898301,0.9569624278465334,0.9712455980800572,0.014402104486390805,0.9533630234409367,0.9891281727191776,0.9109090909090909,0.027574092523823823,0.8766713329391193,0.9451468488790625,0.9398273635035093,0.013410318478760543,0.9231762538439856,0.9564784731630329,0.9917685950413222,0.0024603959549024724,0.9887136099627937,0.9948235801198507
15,correlation,svm,0.9045454545454547,0.010660035817780543,0.8913092718509539,0.9177816372399554,0.9731843363470819,0.01994701353093676,0.9484168477740343,0.9979518249201295,0.8327272727272726,0.03188305075772758,0.793139236448499,0.8723153090060463,0.8969393804561412,0.013640827600867612,0.8800020559184396,0.9138767049938428,0.9803801652892561,0.004082594438745277,0.9753109547553992,0.985449375823113
15,random,ocsvm,0.8227272727272726,0.02820380374088831,0.787707625009807,0.8577469204447383,0.8633894461333705,0.03439476072774593,0.8206827100108957,0.9060961822558454,0.7672727272727272,0.03122829824966852,0.7284976736109441,0.8060477809345103,0.812305102686631,0.029673467768053814,0.7754606260571787,0.8491495793160834,0.8583471074380166,0.01919082294398551,0.834518553492567,0.8821756613834661
15,random,iforest,0.8172727272727272,0.019656134827672422,0.7928664123133671,0.8416790422320872,0.8714248256043922,0.024580013128713243,0.840904708227093,0.9019449429816914,0.7454545454545454,0.04545454545454545,0.6890152728089196,0.8018938181001711,0.8026276260123353,0.02597538601348489,0.7703749243599455,0.8348803276647251,0.891305785123967,0.028681996484578455,0.855692382692459,0.926919187555475
